[ # ] backend.content test-size ticks-per-ms time(ticks) ...
[*] xlib.rgba firefox-canvas-alpha.0 1e+06 768600128173 753465515137 740496490478
[*] xlib.rgba firefox-fishtank.0 1e+06 794008178711 790196533203 793320587158
[*] xlib.rgba firefox-particles.0 1e+06 1159844207764 1157953887940 1166679107666
[*] xlib.rgba gnome-terminal-vim.0 1e+06 113236846924 111420776367 111660034180
[*] xlib.rgba grads-heat-map.0 1e+06 16277587890 15597808837 15601043702
[*] xlib.rgba gvim.0 1e+06 209029205322 204148651124 206403472901
[*] xlib.rgba swfdec-giant-steps.0 1e+06 71275604248 70671295166 70659362793
[*] xlib.rgba swfdec-youtube.0 1e+06 54353973388 52857269287 52952239990
