[ # ] backend.content test-size ticks-per-ms time(ticks) ...
[*] xlib.rgba firefox-paintball.0 1e+06 531667022705 526563415528 526520965576
[*] xlib.rgba firefox-canvas.0 1e+06 1085248077393 1083852874756 1083430694580
[*] xlib.rgba firefox-asteroids.0 1e+06 67999847412 63641632080 63730529785
[*] xlib.rgba evolution.0 1e+06 33603088379 31329376220 31273193360
[*] xlib.rgba firefox-fishtank.0 1e+06 567014251709 560752288819 559143249512
[*] xlib.rgba swfdec-giant-steps.0 1e+06 25969268799 25508575439 25626739502
[*] xlib.rgba firefox-talos-gfx.0 1e+06 203913116455 199997894287 199133056641
[*] xlib.rgba firefox-canvas-alpha.0 1e+06 482572509765 479559448242 480108947754
[*] xlib.rgba firefox-planet-gnome.0 1e+06 125740417481 121420074463 120777496338
[*] xlib.rgba firefox-particles.0 1e+06 1076559661865 1070290618897 1066196258545
[*] xlib.rgba grads-heat-map.0 1e+06 3676239014 3044616699 3020538330
[*] xlib.rgba gvim.0 1e+06 36968170166 33878540039 33706329346
[*] xlib.rgba firefox-talos-svg.0 1e+06 602847137451 588939727783 588858825684
[*] xlib.rgba swfdec-youtube.0 1e+06 39649566650 38241638183 38087799072
[*] xlib.rgba gnome-terminal-vim.0 1e+06 54373260498 53266876221 53277557373
[*] xlib.rgba firefox-fishbowl.0 1e+06 1017174896241 1012238616944 1011426208496
[*] xlib.rgba poppler.0 1e+06 26741821290 26844268798 26914489746
[*] xlib.rgba xfce4-terminal-a1.0 1e+06 33448028565 33864624023 33071441650
[*] xlib.rgba gnome-system-monitor.0 1e+06 44576934815 44784912110 44653503418
[*] xlib.rgba midori-zoomed.0 1e+06 21343200684 20934753418 20921051025
[*] xlib.rgba poppler-reseau.0 1e+06 8087127686 7593811035 7606384278
